 GROUP;NAME;H(MODE);S(AVARAGE);V(AVARAGE) 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (1).jpg;334;30;78 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (1).TIF;342;44;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (10).jpg;331;26;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (10).TIF;346;47;63 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (11).jpg;339;19;64 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (11).TIF;346;48;63 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (12).jpg;339;26;76 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (12).TIF;346;47;63 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (13).jpg;320;27;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (13).TIF;347;47;64 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (14).jpg;339;29;74 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (14).TIF;343;46;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (15).jpg;339;29;80 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (15).TIF;341;38;70 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (16).jpg;343;34;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (16).TIF;342;42;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (17).jpg;343;34;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (17).TIF;343;44;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (18).jpg;343;33;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (18).TIF;342;43;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (19).jpg;347;40;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (2).jpg;339;31;72 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (2).TIF;338;38;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (20).jpg;343;33;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (21).jpg;343;36;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (22).jpg;339;27;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (23).jpg;339;26;76 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (24).jpg;343;36;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (25).jpg;347;44;79 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (26).jpg;339;25;72 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (27).jpg;339;25;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (28).jpg;339;25;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (29).jpg;339;26;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (3).jpg;339;29;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (3).TIF;337;35;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (30).jpg;339;19;70 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (31).jpg;350;33;84 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (32).jpg;343;33;74 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (4).jpg;339;26;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (4).TIF;341;41;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (5).jpg;339;27;70 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (5).TIF;343;43;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (6).jpg;327;29;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (6).TIF;342;41;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (7).jpg;334;35;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (7).TIF;344;46;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (8).jpg;339;31;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (8).TIF;344;45;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (9).jpg;339;27;76 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (9).TIF;340;40;73 
 H&E;H&E-NORMAL  GLOMERULUS    (100).jpg;345;29;76 
 H&E;H&E-NORMAL  GLOMERULUS    (101).jpg;339;26;73 
 H&E;H&E-NORMAL  GLOMERULUS    (102).jpg;339;25;73 
 H&E;H&E-NORMAL  GLOMERULUS    (103).jpg;345;27;75 
 H&E;H&E-NORMAL  GLOMERULUS    (104).jpg;339;23;74 
 H&E;H&E-NORMAL  GLOMERULUS    (105).jpg;345;27;75 
 H&E;H&E-NORMAL  GLOMERULUS    (106).jpg;343;37;69 
 H&E;H&E-NORMAL  GLOMERULUS    (107).jpg;343;36;69 
 H&E;H&E-NORMAL  GLOMERULUS    (108).jpg;339;31;71 
 H&E;H&E-NORMAL  GLOMERULUS    (109).jpg;339;28;73 
 H&E;H&E-NORMAL  GLOMERULUS    (110).jpg;339;27;75 
 H&E;H&E-NORMAL  GLOMERULUS    (111).jpg;339;27;70 
 H&E;H&E-NORMAL  GLOMERULUS    (112).jpg;339;27;70 
 H&E;H&E-NORMAL  GLOMERULUS    (113).jpg;339;21;71 
 H&E;H&E-NORMAL  GLOMERULUS    (114).jpg;339;20;73 
 H&E;H&E-NORMAL  GLOMERULUS    (115).jpg;331;22;70 
 H&E;H&E-NORMAL  GLOMERULUS    (116).jpg;339;22;72 
 H&E;H&E-NORMAL  GLOMERULUS    (117).jpg;339;25;70 
 H&E;H&E-NORMAL  GLOMERULUS    (118).jpg;339;21;71 
 H&E;H&E-NORMAL  GLOMERULUS    (234).jpg;343;36;83 
 H&E;H&E-NORMAL  GLOMERULUS    (235).jpg;343;35;84 
 H&E;H&E-NORMAL  GLOMERULUS    (236).jpg;342;40;88 
 H&E;H&E-NORMAL  GLOMERULUS    (237).jpg;339;32;73 
 H&E;H&E-NORMAL  GLOMERULUS    (238).jpg;343;33;88 
 H&E;H&E-NORMAL  GLOMERULUS    (239).jpg;343;36;86 
 H&E;H&E-NORMAL  GLOMERULUS    (240).jpg;343;37;80 
 H&E;H&E-NORMAL  GLOMERULUS    (241).jpg;343;38;80 
 H&E;H&E-NORMAL  GLOMERULUS    (242).jpg;343;34;82 
 H&E;H&E-NORMAL  GLOMERULUS    (243).jpg;343;34;82 
 H&E;H&E-NORMAL  GLOMERULUS    (244).jpg;343;33;86 
 H&E;H&E-NORMAL  GLOMERULUS    (245).jpg;342;42;88 
 H&E;H&E-NORMAL  GLOMERULUS    (246).jpg;343;35;85 
 H&E;H&E-NORMAL  GLOMERULUS    (247).jpg;343;35;84 
 H&E;H&E-NORMAL  GLOMERULUS    (248).jpg;339;28;72 
 H&E;H&E-NORMAL  GLOMERULUS    (249).jpg;339;35;83 
 H&E;H&E-NORMAL  GLOMERULUS    (250).jpg;339;33;83 
 H&E;H&E-NORMAL  GLOMERULUS    (251).jpg;339;29;73 
 H&E;H&E-NORMAL  GLOMERULUS    (252).jpg;335;46;70 
 H&E;H&E-NORMAL  GLOMERULUS    (253).jpg;349;58;84 
 H&E;H&E-NORMAL  GLOMERULUS    (254).jpg;343;43;72 
 H&E;H&E-NORMAL  GLOMERULUS    (255).jpg;339;45;66 
 H&E;H&E-NORMAL  GLOMERULUS    (256).jpg;339;43;73 
 H&E;H&E-NORMAL  GLOMERULUS    (257).jpg;339;38;77 
 H&E;H&E-NORMAL  GLOMERULUS    (258).jpg;339;40;73 
 H&E;H&E-NORMAL  GLOMERULUS    (259).jpg;347;43;80 
 H&E;H&E-NORMAL  GLOMERULUS    (260).jpg;350;47;64 
 H&E;H&E-NORMAL  GLOMERULUS    (261).jpg;345;40;68 
 H&E;H&E-NORMAL  GLOMERULUS    (262).jpg;335;39;78 
 H&E;H&E-NORMAL  GLOMERULUS    (263).jpg;343;46;68 
 H&E;H&E-NORMAL  GLOMERULUS    (264).jpg;339;28;83 
 H&E;H&E-NORMAL  GLOMERULUS    (265).jpg;343;44;67 
 H&E;H&E-NORMAL  GLOMERULUS    (266).jpg;339;37;77 
 H&E;H&E-NORMAL  GLOMERULUS    (267).jpg;342;43;87 
 H&E;H&E-NORMAL  GLOMERULUS    (268).jpg;342;54;81 
 H&E;H&E-NORMAL  GLOMERULUS    (269).jpg;350;53;72 
 H&E;H&E-NORMAL  GLOMERULUS    (270).jpg;350;51;76 
 H&E;H&E-NORMAL  GLOMERULUS    (271).jpg;339;40;70 
 H&E;H&E-NORMAL  GLOMERULUS    (272).jpg;348;47;64 
 H&E;H&E-NORMAL  GLOMERULUS    (273).jpg;344;65;93 
 H&E;H&E-NORMAL  GLOMERULUS    (274).jpg;344;65;93 
 H&E;H&E-NORMAL  GLOMERULUS    (275).jpg;345;37;57 
 H&E;H&E-NORMAL  GLOMERULUS    (276).jpg;345;34;59 
 H&E;H&E-NORMAL  GLOMERULUS    (277).jpg;339;29;58 
 H&E;H&E-NORMAL  GLOMERULUS    (278).jpg;345;32;67 
 H&E;H&E-NORMAL  GLOMERULUS    (279).jpg;339;61;66 
 H&E;H&E-NORMAL  GLOMERULUS    (280).jpg;339;60;67 
 H&E;H&E-NORMAL  GLOMERULUS    (69).jpg;343;34;78 
 H&E;H&E-NORMAL  GLOMERULUS    (70).jpg;343;32;79 
 H&E;H&E-NORMAL  GLOMERULUS    (71).jpg;346;33;72 
 H&E;H&E-NORMAL  GLOMERULUS    (72).jpg;346;35;71 
 H&E;H&E-NORMAL  GLOMERULUS    (73).jpg;346;34;72 
 H&E;H&E-NORMAL  GLOMERULUS    (74).jpg;346;35;71 
 H&E;H&E-NORMAL  GLOMERULUS    (75).jpg;346;36;71 
 H&E;H&E-NORMAL  GLOMERULUS    (76).jpg;346;32;72 
 H&E;H&E-NORMAL  GLOMERULUS    (77).jpg;345;30;72 
 H&E;H&E-NORMAL  GLOMERULUS    (78).jpg;347;36;74 
 H&E;H&E-NORMAL  GLOMERULUS    (79).jpg;347;38;75 
 H&E;H&E-NORMAL  GLOMERULUS    (80).jpg;343;33;73 
 H&E;H&E-NORMAL  GLOMERULUS    (81).jpg;345;29;76 
 H&E;H&E-NORMAL  GLOMERULUS    (82).jpg;343;34;74 
 H&E;H&E-NORMAL  GLOMERULUS    (83).jpg;343;37;73 
 H&E;H&E-NORMAL  GLOMERULUS    (84).jpg;343;36;74 
 H&E;H&E-NORMAL  GLOMERULUS    (85).jpg;343;35;74 
 H&E;H&E-NORMAL  GLOMERULUS    (86).jpg;343;35;74 
 H&E;H&E-NORMAL  GLOMERULUS    (87).jpg;343;35;74 
 H&E;H&E-NORMAL  GLOMERULUS    (88).jpg;343;35;74 
 H&E;H&E-NORMAL  GLOMERULUS    (89).jpg;343;36;74 
 H&E;H&E-NORMAL  GLOMERULUS    (90).jpg;339;27;83 
 H&E;H&E-NORMAL  GLOMERULUS    (91).jpg;339;27;82 
 H&E;H&E-NORMAL  GLOMERULUS    (92).jpg;343;35;76 
 H&E;H&E-NORMAL  GLOMERULUS    (93).jpg;343;33;77 
 H&E;H&E-NORMAL  GLOMERULUS    (94).jpg;343;34;77 
 H&E;H&E-NORMAL  GLOMERULUS    (95).jpg;343;33;76 
 H&E;H&E-NORMAL  GLOMERULUS    (96).jpg;343;34;77 
 H&E;H&E-NORMAL  GLOMERULUS    (97).jpg;343;32;77 
 H&E;H&E-NORMAL  GLOMERULUS    (98).jpg;343;34;77 
 H&E;H&E-NORMAL  GLOMERULUS    (99).jpg;343;34;77 
 H&E;NORMAL  GLOMERULUS  -  AZAN  (1).jpg;334;38;66 
 H&E;NORMAL  GLOMERULUS  -  AZAN  (2).jpg;331;38;64 
 H&E;NORMAL  GLOMERULUS  -  AZAN  (3).jpg;331;36;67 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (1).jpg;26;21;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (10).jpg;239;24;28 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (11).jpg;239;23;29 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (12).jpg;0;0;99 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (13).jpg;0;0;101 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (14).jpg;0;0;101 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (15).jpg;180;4;98 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (16).jpg;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (17).jpg;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (18).jpg;69;7;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (19).jpg;239;24;22 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (2).jpg;23;18;97 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (20).jpg;100;2;78 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (21).jpg;180;2;96 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (22).jpg;140;3;92 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (23).jpg;239;19;36 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (24).jpg;60;3;67 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (25).jpg;160;3;92 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (26).jpg;43;14;90 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (27).jpg;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (28).jpg;0;1;99 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (29).jpg;0;1;98 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (3).jpg;26;20;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (30).jpg;0;1;99 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (31).jpg;0;2;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (32).jpg;0;4;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (33).jpg;30;12;80 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (34).jpg;30;12;81 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (35).jpg;30;13;81 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (36).jpg;60;5;89 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (37).jpg;51;7;94 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (38).jpg;103;3;99 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (39).jpg;0;10;61 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (4).jpg;26;21;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (40).jpg;60;2;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (41).jpg;60;2;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (42).jpg;42;7;90 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (43).jpg;60;4;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (44).jpg;44;8;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (45).jpg;60;9;92 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (46).jpg;60;3;94 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (47).jpg;33;7;88 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (48).jpg;33;7;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (49).jpg;33;7;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (5).jpg;26;21;91 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (50).jpg;60;5;97 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (51).jpg;0;7;92 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (52).jpg;30;9;97 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (53).jpg;60;6;99 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (54).jpg;29;13;95 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (55).jpg;33;13;94 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (56).jpg;16;14;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (57).jpg;29;14;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (58).jpg;339;28;39 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (59).jpg;16;12;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (6).jpg;30;36;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (60).jpg;0;16;57 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (61).jpg;10;17;79 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (62).jpg;19;11;93 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (63).jpg;19;11;95 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (64).jpg;19;14;81 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (65).jpg;16;12;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (66).jpg;19;14;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (67).jpg;26;18;81 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (68).jpg;26;18;75 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (69).jpg;20;19;85 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (7).jpg;26;18;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (70).jpg;26;18;76 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (71).jpg;20;18;84 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (72).jpg;20;19;83 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (73).jpg;20;19;84 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (74).jpg;23;19;80 
