 GROUP;NAME;H(MODE);S(AVARAGE);V(AVARAGE) 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (75).jpg;20;21;82 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (76).jpg;20;19;83 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (77).jpg;20;19;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (78).jpg;22;19;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (79).jpg;20;18;88 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (8).jpg;0;0;100 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (80).jpg;23;19;83 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (81).jpg;20;19;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (82).jpg;26;16;92 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (83).jpg;26;17;90 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (84).jpg;20;21;83 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (85).jpg;22;18;84 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (86).jpg;22;19;83 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (87).jpg;33;19;90 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (88).jpg;28;19;94 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (89).jpg;26;21;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (9).jpg;19;11;87 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (90).jpg;28;20;86 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (91).jpg;239;22;6 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (92).jpg;239;21;6 
 PAMS;PAMS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (93).jpg;33;18;97 
 PAMS;PAMS-MEMBRANOUS  (1).jpg;100;2;68 
 PAMS;PAMS-MEMBRANOUS  (2).jpg;60;5;77 
 PAMS;PAMS-MEMBRANOUS  (23).jpg;147;9;95 
 PAMS;PAMS-MEMBRANOUS  (24).jpg;147;10;94 
 PAMS;PAMS-MEMBRANOUS  (25).jpg;160;5;79 
 PAMS;PAMS-MEMBRANOUS  (26).jpg;160;5;79 
 PAMS;PAMS-MEMBRANOUS  (27).jpg;160;4;81 
 PAMS;PAMS-MEMBRANOUS  (28).jpg;191;3;72 
 PAMS;PAMS-MEMBRANOUS  (29).jpg;191;3;73 
 PAMS;PAMS-MEMBRANOUS  (3).jpg;132;3;69 
 PAMS;PAMS-MEMBRANOUS  (30).jpg;191;3;72 
 PAMS;PAMS-MEMBRANOUS  (31).jpg;85;9;91 
 PAMS;PAMS-MEMBRANOUS  (32).jpg;35;9;82 
 PAMS;PAMS-MEMBRANOUS  (33).jpg;92;9;88 
 PAMS;PAMS-MEMBRANOUS  (34).jpg;85;7;84 
 PAMS;PAMS-MEMBRANOUS  (35).jpg;60;5;82 
 PAMS;PAMS-MEMBRANOUS  (36).jpg;60;5;80 
 PAMS;PAMS-MEMBRANOUS  (4).jpg;120;6;86 
 PAMS;PAMS-MEMBRANOUS  (5).jpg;85;9;89 
 PAMS;PAMS-MEMBRANOUS  (6).jpg;160;4;77 
 PAMS;PAMS-MEMBRANOUS  (7).jpg;76;7;83 
 PAMS;PAMS-NORMAL  GLOMERULUS  (1).jpg;0;7;87 
 PAMS;PAMS-NORMAL  GLOMERULUS  (1).TIF;0;8;80 
 PAMS;PAMS-NORMAL  GLOMERULUS  (10).jpg;19;11;79 
 PAMS;PAMS-NORMAL  GLOMERULUS  (11).jpg;45;7;83 
 PAMS;PAMS-NORMAL  GLOMERULUS  (12).jpg;45;7;83 
 PAMS;PAMS-NORMAL  GLOMERULUS  (13).jpg;44;9;83 
 PAMS;PAMS-NORMAL  GLOMERULUS  (14).jpg;26;19;95 
 PAMS;PAMS-NORMAL  GLOMERULUS  (15).jpg;28;20;92 
 PAMS;PAMS-NORMAL  GLOMERULUS  (16).jpg;28;20;91 
 PAMS;PAMS-NORMAL  GLOMERULUS  (17).jpg;28;20;89 
 PAMS;PAMS-NORMAL  GLOMERULUS  (18).jpg;28;19;86 
 PAMS;PAMS-NORMAL  GLOMERULUS  (19).jpg;22;16;91 
 PAMS;PAMS-NORMAL  GLOMERULUS  (2).jpg;19;12;76 
 PAMS;PAMS-NORMAL  GLOMERULUS  (20).jpg;21;13;87 
 PAMS;PAMS-NORMAL  GLOMERULUS  (21).jpg;22;16;91 
 PAMS;PAMS-NORMAL  GLOMERULUS  (22).jpg;26;16;91 
 PAMS;PAMS-NORMAL  GLOMERULUS  (23).jpg;20;16;93 
 PAMS;PAMS-NORMAL  GLOMERULUS  (24).jpg;26;22;83 
 PAMS;PAMS-NORMAL  GLOMERULUS  (25).jpg;21;14;88 
 PAMS;PAMS-NORMAL  GLOMERULUS  (26).jpg;21;15;84 
 PAMS;PAMS-NORMAL  GLOMERULUS  (27).jpg;339;22;39 
 PAMS;PAMS-NORMAL  GLOMERULUS  (28).jpg;0;13;59 
 PAMS;PAMS-NORMAL  GLOMERULUS  (29).jpg;60;3;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (3).jpg;19;12;77 
 PAMS;PAMS-NORMAL  GLOMERULUS  (30).jpg;21;13;93 
 PAMS;PAMS-NORMAL  GLOMERULUS  (31).jpg;60;7;96 
 PAMS;PAMS-NORMAL  GLOMERULUS  (32).jpg;29;14;95 
 PAMS;PAMS-NORMAL  GLOMERULUS  (33).jpg;23;11;84 
 PAMS;PAMS-NORMAL  GLOMERULUS  (34).jpg;103;7;96 
 PAMS;PAMS-NORMAL  GLOMERULUS  (35).jpg;0;1;98 
 PAMS;PAMS-NORMAL  GLOMERULUS  (4).jpg;19;12;76 
 PAMS;PAMS-NORMAL  GLOMERULUS  (5).jpg;21;9;78 
 PAMS;PAMS-NORMAL  GLOMERULUS  (6).jpg;19;12;76 
 PAMS;PAMS-NORMAL  GLOMERULUS  (7).jpg;19;14;75 
 PAMS;PAMS-NORMAL  GLOMERULUS  (8).jpg;19;10;80 
 PAMS;PAMS-NORMAL  GLOMERULUS  (9).jpg;19;11;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (1).jpg;27;34;92 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (10).jpg;320;33;53 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (11).jpg;318;26;53 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (12).jpg;320;33;53 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (13).jpg;318;29;53 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (14).jpg;318;24;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (141).jpg;331;34;57 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (142).jpg;325;35;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (143).jpg;324;31;57 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (144).jpg;325;33;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (145).jpg;325;36;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (146).jpg;311;16;73 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (147).jpg;324;15;72 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (148).jpg;339;33;68 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (149).jpg;339;32;70 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (15).jpg;28;11;69 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (150).jpg;339;33;69 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (151).jpg;339;31;69 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (152).jpg;339;35;68 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (153).jpg;339;37;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (154).jpg;339;33;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (155).jpg;339;26;79 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (156).jpg;334;40;63 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (157).jpg;334;40;59 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (158).jpg;339;30;73 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (159).jpg;339;31;74 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (16).jpg;3;10;84 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (160).jpg;339;29;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (161).jpg;339;29;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (162).jpg;339;30;75 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (163).jpg;339;22;77 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (164).jpg;339;25;83 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (165).jpg;345;27;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (166).jpg;19;19;91 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (167).jpg;23;18;96 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (168).jpg;325;35;60 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (169).jpg;325;38;59 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (17).jpg;319;30;68 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (170).jpg;327;36;61 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (171).jpg;325;34;62 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (172).jpg;325;37;60 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (173).jpg;327;36;61 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (174).jpg;325;35;57 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (175).jpg;325;33;58 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (176).jpg;331;36;60 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (177).jpg;331;35;61 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (178).jpg;325;25;71 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (179).jpg;325;25;72 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (18).jpg;21;15;74 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (19).jpg;325;31;72 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (2).jpg;311;17;65 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (20).jpg;325;29;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (21).jpg;339;29;59 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (22).jpg;319;41;68 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (23).jpg;312;32;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (24).jpg;312;32;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (25).jpg;312;26;77 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (26).jpg;150;1;83 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (27).jpg;297;18;74 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (28).jpg;297;16;75 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (29).jpg;299;15;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (3).jpg;339;48;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (30).jpg;307;35;66 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (31).jpg;291;17;77 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (32).jpg;165;2;87 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (33).jpg;191;2;92 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (34).jpg;299;18;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (35).jpg;307;36;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (36).jpg;309;37;56 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (37).jpg;291;26;72 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (38).jpg;272;20;82 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (39).jpg;312;27;63 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (4).jpg;318;19;70 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (40).jpg;306;21;62 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (41).jpg;318;13;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (42).jpg;299;13;86 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (43).jpg;312;24;68 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (44).jpg;312;30;65 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (45).jpg;318;22;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (46).jpg;312;20;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (47).jpg;326;11;85 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (48).jpg;299;8;96 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (49).jpg;320;20;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (5).jpg;306;24;52 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (50).jpg;320;20;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (6).jpg;299;8;98 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (7).jpg;293;31;68 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (8).jpg;331;35;46 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (9).jpg;51;10;55 
 PAS;PAS-NORMAL  GLOMERULUS  (1).jpg;339;36;50 
 PAS;PAS-NORMAL  GLOMERULUS  (1).TIF;315;27;66 
 PAS;PAS-NORMAL  GLOMERULUS  (100).jpg;318;16;72 
 PAS;PAS-NORMAL  GLOMERULUS  (101).jpg;160;5;93 
 PAS;PAS-NORMAL  GLOMERULUS  (102).jpg;299;12;79 
 PAS;PAS-NORMAL  GLOMERULUS  (103).jpg;318;13;62 
 PAS;PAS-NORMAL  GLOMERULUS  (104).jpg;311;13;67 
 PAS;PAS-NORMAL  GLOMERULUS  (105).jpg;318;28;80 
 PAS;PAS-NORMAL  GLOMERULUS  (106).jpg;320;24;74 
 PAS;PAS-NORMAL  GLOMERULUS  (107).jpg;331;25;63 
 PAS;PAS-NORMAL  GLOMERULUS  (108).jpg;331;25;62 
 PAS;PAS-NORMAL  GLOMERULUS  (109).jpg;299;6;99 
 PAS;PAS-NORMAL  GLOMERULUS  (110).jpg;342;43;82 
 PAS;PAS-NORMAL  GLOMERULUS  (111).jpg;0;18;68 
 PAS;PAS-NORMAL  GLOMERULUS  (2).jpg;331;23;70 
 PAS;PAS-NORMAL  GLOMERULUS  (2).TIF;315;24;73 
 PAS;PAS-NORMAL  GLOMERULUS  (3).jpg;331;23;71 
 PAS;PAS-NORMAL  GLOMERULUS  (3).TIF;315;23;73 
 PAS;PAS-NORMAL  GLOMERULUS  (4).jpg;339;16;75 
 PAS;PAS-NORMAL  GLOMERULUS  (4).TIF;315;23;73 
 PAS;PAS-NORMAL  GLOMERULUS  (5).jpg;339;16;75 
 PAS;PAS-NORMAL  GLOMERULUS  (5).TIF;315;27;69 
 PAS;PAS-NORMAL  GLOMERULUS  (6).jpg;331;24;71 
 PAS;PAS-NORMAL  GLOMERULUS  (62).jpg;339;20;79 
 PAS;PAS-NORMAL  GLOMERULUS  (63).jpg;325;30;72 
 PAS;PAS-NORMAL  GLOMERULUS  (64).jpg;339;17;80 
 PAS;PAS-NORMAL  GLOMERULUS  (65).jpg;339;20;81 
 PAS;PAS-NORMAL  GLOMERULUS  (66).jpg;339;26;76 
 PAS;PAS-NORMAL  GLOMERULUS  (67).jpg;339;26;76 
 PAS;PAS-NORMAL  GLOMERULUS  (68).jpg;339;26;77 
 PAS;PAS-NORMAL  GLOMERULUS  (69).jpg;339;26;78 
 PAS;PAS-NORMAL  GLOMERULUS  (70).jpg;339;23;83 
 PAS;PAS-NORMAL  GLOMERULUS  (71).jpg;339;26;81 
 PAS;PAS-NORMAL  GLOMERULUS  (72).jpg;325;33;71 
 PAS;PAS-NORMAL  GLOMERULUS  (73).jpg;325;34;70 
 PAS;PAS-NORMAL  GLOMERULUS  (74).jpg;339;21;82 
 PAS;PAS-NORMAL  GLOMERULUS  (75).jpg;339;21;83 
 PAS;PAS-NORMAL  GLOMERULUS  (76).jpg;339;28;75 
 PAS;PAS-NORMAL  GLOMERULUS  (77).jpg;339;22;87 
 PAS;PAS-NORMAL  GLOMERULUS  (78).jpg;339;18;79 
 PAS;PAS-NORMAL  GLOMERULUS  (79).jpg;339;21;80 
 PAS;PAS-NORMAL  GLOMERULUS  (80).jpg;339;19;89 
 PAS;PAS-NORMAL  GLOMERULUS  (81).jpg;339;19;81 
 PAS;PAS-NORMAL  GLOMERULUS  (82).jpg;339;19;82 
 PAS;PAS-NORMAL  GLOMERULUS  (83).jpg;331;20;86 
 PAS;PAS-NORMAL  GLOMERULUS  (84).jpg;339;19;83 
 PAS;PAS-NORMAL  GLOMERULUS  (85).jpg;339;17;84 
 PAS;PAS-NORMAL  GLOMERULUS  (86).jpg;339;19;85 
 PAS;PAS-NORMAL  GLOMERULUS  (87).jpg;325;26;81 
 PAS;PAS-NORMAL  GLOMERULUS  (88).jpg;325;26;78 
 PAS;PAS-NORMAL  GLOMERULUS  (89).jpg;331;21;83 
 PAS;PAS-NORMAL  GLOMERULUS  (90).jpg;339;17;86 
 PAS;PAS-NORMAL  GLOMERULUS  (91).jpg;339;17;87 
 PAS;PAS-NORMAL  GLOMERULUS  (92).jpg;339;16;85 
 PAS;PAS-NORMAL  GLOMERULUS  (93).jpg;339;16;88 
 PAS;PAS-NORMAL  GLOMERULUS  (94).jpg;325;25;72 
 PAS;PAS-NORMAL  GLOMERULUS  (95).jpg;318;13;79 
 PAS;PAS-NORMAL  GLOMERULUS  (96).jpg;279;4;86 
 PAS;PAS-NORMAL  GLOMERULUS  (97).jpg;312;19;80 
 PAS;PAS-NORMAL  GLOMERULUS  (98).jpg;22;4;84 
 PAS;PAS-NORMAL  GLOMERULUS  (99).jpg;60;3;101 
