 GROUP;NAME;L(AVARAGE);A(AVARAGE);B(AVARAGE);L(MEDIAN);A(MEDIAN);B(MEDIAN);L(MODE);A(MODE);B(MODE) 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (1).jpg;68;18;-6;66;22;-4;99;24;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (1).TIF;45;26;-2;44;28;-1;43;30;0 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (10).jpg;62;14;-4;60;17;-4;52;25;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (10).TIF;47;28;1;46;30;2;44;33;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (11).jpg;54;12;-4;53;14;-4;74;1;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (11).TIF;47;28;1;45;31;2;43;35;3 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (12).jpg;68;15;-2;65;19;-2;60;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (12).TIF;47;28;1;45;30;2;44;34;3 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (13).jpg;64;15;-8;60;20;-8;55;24;-8 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (13).TIF;47;28;2;46;30;2;44;35;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (14).jpg;63;19;-5;61;22;-4;57;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (14).TIF;45;27;0;44;30;1;43;33;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (15).jpg;66;22;-2;64;25;-1;60;27;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (15).TIF;55;26;-2;55;27;-1;54;30;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (16).jpg;63;19;-2;61;24;0;87;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (16).TIF;52;28;-1;51;30;0;49;32;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (17).jpg;65;25;1;64;28;2;62;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (17).TIF;50;29;-1;49;31;1;48;34;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (18).jpg;71;18;1;69;22;2;62;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (18).TIF;51;29;-1;50;31;0;48;34;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (19).jpg;62;28;2;61;31;3;58;36;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (2).jpg;62;18;-4;59;22;-3;55;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (2).TIF;48;23;-3;47;25;-2;46;28;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (20).jpg;68;21;1;66;25;2;60;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (21).jpg;59;24;-1;57;27;0;57;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (22).jpg;66;16;-2;66;20;0;88;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (23).jpg;66;16;-2;65;20;0;87;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (24).jpg;64;25;2;62;29;3;59;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (25).jpg;63;25;4;58;33;6;53;38;7 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (26).jpg;63;15;-1;63;18;0;61;19;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (27).jpg;62;13;-2;61;16;-1;59;18;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (28).jpg;62;14;-1;61;17;1;59;18;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (29).jpg;60;17;-1;59;19;0;56;21;0 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (3).jpg;66;11;-1;64;14;0;90;-4;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (3).TIF;50;21;-4;49;23;-3;48;24;-3 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (30).jpg;61;12;-4;60;14;-3;56;18;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (31).jpg;74;16;5;72;21;6;95;29;5 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (32).jpg;66;16;0;64;21;1;84;26;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (4).jpg;60;15;-4;58;17;-4;54;21;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (4).TIF;46;24;-3;46;26;-1;45;27;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (5).jpg;64;12;-3;62;15;-2;87;-3;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (5).TIF;47;25;-2;46;27;0;44;31;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (6).jpg;65;15;-6;62;18;-6;53;24;-8 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (6).TIF;46;25;-2;46;27;0;44;28;0 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (7).jpg;62;17;-6;58;21;-5;52;28;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (7).TIF;45;27;0;44;29;1;43;32;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (8).jpg;55;15;-3;52;18;-3;45;23;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (8).TIF;45;28;0;45;30;1;43;33;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (9).jpg;69;15;-1;66;19;-1;60;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (9).TIF;56;29;-2;54;31;-1;51;35;0 
   H&E;H&E-NORMAL    GLOMERULUS        (100).jpg;66;17;1;65;20;2;59;26;1 
   H&E;H&E-NORMAL    GLOMERULUS        (101).jpg;68;14;2;67;16;3;90;-2;10 
   H&E;H&E-NORMAL    GLOMERULUS        (102).jpg;70;12;3;69;15;3;91;-2;10 
   H&E;H&E-NORMAL    GLOMERULUS        (103).jpg;68;15;1;67;17;2;62;23;1 
   H&E;H&E-NORMAL    GLOMERULUS        (104).jpg;71;11;2;71;13;3;92;-2;1 
   H&E;H&E-NORMAL    GLOMERULUS        (105).jpg;68;14;2;68;16;2;62;19;1 
   H&E;H&E-NORMAL    GLOMERULUS        (106).jpg;58;20;0;56;24;2;53;28;2 
   H&E;H&E-NORMAL    GLOMERULUS        (107).jpg;61;19;1;59;22;2;54;26;6 
   H&E;H&E-NORMAL    GLOMERULUS        (108).jpg;62;18;0;60;22;1;54;26;1 
   H&E;H&E-NORMAL    GLOMERULUS        (109).jpg;67;15;1;65;19;2;57;26;1 
   H&E;H&E-NORMAL    GLOMERULUS        (110).jpg;71;13;0;69;16;1;92;-3;10 
   H&E;H&E-NORMAL    GLOMERULUS        (111).jpg;58;17;-4;57;20;-4;52;25;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (112).jpg;58;17;-5;57;18;-4;54;21;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (113).jpg;62;14;-4;62;15;-4;59;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (114).jpg;63;13;-5;63;15;-4;59;16;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (115).jpg;65;13;-4;64;15;-4;60;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (116).jpg;62;14;-5;62;15;-4;59;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (117).jpg;60;16;-5;59;17;-4;57;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (118).jpg;62;13;-4;61;16;-4;57;21;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (234).jpg;67;25;-1;66;27;1;62;32;1 
   H&E;H&E-NORMAL    GLOMERULUS        (235).jpg;68;24;-1;67;26;1;61;35;1 
   H&E;H&E-NORMAL    GLOMERULUS        (236).jpg;67;32;1;66;35;2;64;39;1 
   H&E;H&E-NORMAL    GLOMERULUS        (237).jpg;59;22;-3;58;24;-1;54;27;0 
   H&E;H&E-NORMAL    GLOMERULUS        (238).jpg;68;26;-1;68;28;1;63;30;1 
   H&E;H&E-NORMAL    GLOMERULUS        (239).jpg;67;28;0;65;31;2;61;33;1 
   H&E;H&E-NORMAL    GLOMERULUS        (240).jpg;64;27;0;62;29;2;57;31;1 
   H&E;H&E-NORMAL    GLOMERULUS        (241).jpg;63;28;1;61;31;2;58;36;2 
   H&E;H&E-NORMAL    GLOMERULUS        (242).jpg;65;24;0;65;26;1;65;29;1 
   H&E;H&E-NORMAL    GLOMERULUS        (243).jpg;69;21;0;68;24;2;63;29;1 
   H&E;H&E-NORMAL    GLOMERULUS        (244).jpg;69;25;0;69;27;2;69;30;1 
   H&E;H&E-NORMAL    GLOMERULUS        (245).jpg;67;33;1;65;37;3;61;43;3 
   H&E;H&E-NORMAL    GLOMERULUS        (246).jpg;67;27;0;66;29;2;65;33;1 
   H&E;H&E-NORMAL    GLOMERULUS        (247).jpg;68;24;0;67;26;1;65;29;1 
   H&E;H&E-NORMAL    GLOMERULUS        (248).jpg;61;17;-3;62;19;0;82;5;3 
   H&E;H&E-NORMAL    GLOMERULUS        (249).jpg;66;27;-2;64;30;0;62;33;1 
   H&E;H&E-NORMAL    GLOMERULUS        (250).jpg;69;22;-3;67;26;-1;97;32;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (251).jpg;61;19;-4;59;21;-3;57;22;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (252).jpg;63;22;-10;58;27;-7;99;-1;-8 
   H&E;H&E-NORMAL    GLOMERULUS        (253).jpg;59;39;5;55;46;6;52;52;2 
   H&E;H&E-NORMAL    GLOMERULUS        (254).jpg;57;26;-1;54;30;1;49;37;2 
   H&E;H&E-NORMAL    GLOMERULUS        (255).jpg;47;30;-2;45;34;0;43;35;0 
   H&E;H&E-NORMAL    GLOMERULUS        (256).jpg;55;29;-5;54;32;-4;50;34;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (257).jpg;68;21;-3;63;28;-2;100;-2;-1 
   H&E;H&E-NORMAL    GLOMERULUS        (258).jpg;56;27;-4;54;31;-2;49;35;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (259).jpg;59;31;3;58;34;3;55;35;1 
   H&E;H&E-NORMAL    GLOMERULUS        (260).jpg;48;27;4;46;30;5;43;33;7 
   H&E;H&E-NORMAL    GLOMERULUS        (261).jpg;52;25;1;51;28;2;46;32;2 
   H&E;H&E-NORMAL    GLOMERULUS        (262).jpg;67;24;-7;63;29;-5;58;-1;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (263).jpg;48;29;0;45;32;2;43;34;2 
   H&E;H&E-NORMAL    GLOMERULUS        (264).jpg;57;24;-6;52;27;-4;93;6;0 
   H&E;H&E-NORMAL    GLOMERULUS        (265).jpg;54;24;-1;51;27;2;84;6;3 
   H&E;H&E-NORMAL    GLOMERULUS        (266).jpg;62;24;-3;60;27;0;91;7;2 
   H&E;H&E-NORMAL    GLOMERULUS        (267).jpg;61;35;-1;62;37;2;59;45;1 
   H&E;H&E-NORMAL    GLOMERULUS        (268).jpg;54;39;-4;54;43;-2;53;50;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (269).jpg;47;34;5;46;36;7;43;40;7 
   H&E;H&E-NORMAL    GLOMERULUS        (270).jpg;53;32;4;51;34;5;47;37;5 
   H&E;H&E-NORMAL    GLOMERULUS        (271).jpg;47;26;-4;49;28;-3;49;29;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (272).jpg;44;28;4;43;32;4;39;38;2 
   H&E;H&E-NORMAL    GLOMERULUS        (273).jpg;60;48;9;59;53;12;57;61;13 
   H&E;H&E-NORMAL    GLOMERULUS        (274).jpg;61;46;9;59;53;11;56;61;12 
   H&E;H&E-NORMAL    GLOMERULUS        (275).jpg;43;20;0;44;21;2;44;26;2 
   H&E;H&E-NORMAL    GLOMERULUS        (276).jpg;48;17;-1;47;19;2;43;22;2 
   H&E;H&E-NORMAL    GLOMERULUS        (277).jpg;49;15;-3;48;17;0;43;17;2 
   H&E;H&E-NORMAL    GLOMERULUS        (278).jpg;58;17;0;56;21;2;51;25;2 
   H&E;H&E-NORMAL    GLOMERULUS        (279).jpg;41;39;-1;41;42;1;39;47;3 
   H&E;H&E-NORMAL    GLOMERULUS        (280).jpg;42;38;-2;42;41;1;40;47;2 
   H&E;H&E-NORMAL    GLOMERULUS        (69).jpg;63;25;1;62;28;1;59;31;1 
   H&E;H&E-NORMAL    GLOMERULUS        (70).jpg;65;23;0;63;26;1;60;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (71).jpg;58;23;1;57;25;2;56;26;2 
   H&E;H&E-NORMAL    GLOMERULUS        (72).jpg;56;24;1;56;26;2;55;26;3 
   H&E;H&E-NORMAL    GLOMERULUS        (73).jpg;58;23;1;57;25;2;56;26;3 
   H&E;H&E-NORMAL    GLOMERULUS        (74).jpg;57;24;2;56;26;3;55;26;3 
   H&E;H&E-NORMAL    GLOMERULUS        (75).jpg;56;25;2;55;27;3;54;30;3 
   H&E;H&E-NORMAL    GLOMERULUS        (76).jpg;59;21;1;58;24;2;56;26;3 
   H&E;H&E-NORMAL    GLOMERULUS        (77).jpg;59;21;1;59;23;2;56;23;3 
   H&E;H&E-NORMAL    GLOMERULUS        (78).jpg;59;25;2;57;27;3;56;30;3 
   H&E;H&E-NORMAL    GLOMERULUS        (79).jpg;58;26;2;57;29;3;56;30;6 
   H&E;H&E-NORMAL    GLOMERULUS        (80).jpg;62;21;0;60;24;1;57;26;2 
   H&E;H&E-NORMAL    GLOMERULUS        (81).jpg;62;21;0;61;24;1;59;26;1 
   H&E;H&E-NORMAL    GLOMERULUS        (82).jpg;61;22;0;60;25;1;57;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (83).jpg;58;26;1;56;29;2;56;31;3 
   H&E;H&E-NORMAL    GLOMERULUS        (84).jpg;60;25;1;59;28;2;58;30;3 
   H&E;H&E-NORMAL    GLOMERULUS        (85).jpg;60;24;0;58;27;1;56;30;2 
   H&E;H&E-NORMAL    GLOMERULUS        (86).jpg;60;24;0;58;27;1;56;30;1 
   H&E;H&E-NORMAL    GLOMERULUS        (87).jpg;61;23;0;59;26;1;57;27;2 
   H&E;H&E-NORMAL    GLOMERULUS        (88).jpg;59;25;0;58;27;1;57;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (89).jpg;59;25;0;58;27;1;56;30;1 
   H&E;H&E-NORMAL    GLOMERULUS        (90).jpg;68;22;-2;68;25;-1;66;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (91).jpg;68;21;-2;67;24;-1;63;27;0 
   H&E;H&E-NORMAL    GLOMERULUS        (92).jpg;61;24;-1;60;27;1;59;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (93).jpg;63;24;0;62;26;1;62;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (94).jpg;63;23;-1;61;26;0;59;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (95).jpg;63;23;-1;61;26;0;59;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (96).jpg;62;24;-1;61;27;0;59;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (97).jpg;64;22;-1;62;25;0;62;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (98).jpg;62;24;-1;61;26;0;60;27;1 
   H&E;H&E-NORMAL    GLOMERULUS        (99).jpg;62;24;-1;61;26;0;59;27;1 
   H&E;NORMAL    GLOMERULUS    -    AZAN    (1).jpg;56;20;-10;53;21;-8;48;22;-4 
   H&E;NORMAL    GLOMERULUS    -    AZAN    (2).jpg;53;22;-9;49;25;-7;44;30;-8 
   H&E;NORMAL    GLOMERULUS    -    AZAN    (3).jpg;56;21;-9;52;24;-8;46;28;-8 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (1).jpg;71;5;10;83;6;14;85;6;14 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (10).jpg;47;1;-6;41;1;-6;100;0;-7 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (11).jpg;48;1;-6;42;1;-6;100;0;-7 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (12).jpg;63;1;-6;68;1;-4;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (13).jpg;54;5;-8;44;5;-8;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (14).jpg;57;3;-7;51;3;-7;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (15).jpg;51;2;-7;44;3;-7;99;-1;-7 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (16).jpg;64;0;-4;78;0;-1;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (17).jpg;59;0;-4;69;0;-3;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (18).jpg;63;-1;1;75;-2;4;88;-3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (19).jpg;48;0;-2;57;1;-1;8;0;2 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (2).jpg;77;6;10;89;6;12;92;7;12 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (20).jpg;50;0;-2;59;0;0;81;-1;1 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (21).jpg;63;1;-5;73;1;-3;100;-1;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (22).jpg;60;0;-3;76;-1;0;87;-2;1 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (23).jpg;61;0;-3;76;0;-1;85;-2;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (24).jpg;44;1;-2;42;2;-2;9;0;-4 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (25).jpg;61;0;-3;70;0;-1;97;-2;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (26).jpg;58;0;5;75;0;10;90;-1;11 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (27).jpg;69;2;-3;87;0;0;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (28).jpg;65;2;-3;81;1;0;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (29).jpg;65;2;-3;83;1;0;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (3).jpg;67;5;8;80;6;11;86;6;14 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (30).jpg;65;2;-3;87;0;0;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (31).jpg;55;2;-2;65;2;-1;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (32).jpg;52;2;-2;57;2;-1;100;1;2 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (33).jpg;51;2;1;62;2;3;76;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (34).jpg;46;2;1;49;2;2;82;2;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (35).jpg;48;2;1;56;2;3;4;2;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (36).jpg;55;2;-2;61;3;0;92;1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (37).jpg;64;1;0;80;1;3;93;-2;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (38).jpg;57;1;-2;68;2;0;99;2;2 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (39).jpg;50;3;-1;57;3;1;82;2;2 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (4).jpg;66;5;8;81;6;12;86;6;14 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (40).jpg;67;2;-2;80;0;0;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (41).jpg;73;1;-2;91;0;1;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (42).jpg;59;1;0;74;1;2;90;1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (43).jpg;63;1;0;81;1;2;91;-1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (44).jpg;57;4;-2;63;4;-1;93;1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (45).jpg;66;4;1;80;3;2;97;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (46).jpg;71;2;-1;87;1;1;97;-1;2 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (47).jpg;64;1;1;85;1;3;89;1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (48).jpg;63;1;1;83;1;3;88;1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (49).jpg;65;1;1;84;1;3;89;1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (5).jpg;64;5;8;81;6;12;86;6;14 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (50).jpg;77;2;0;91;1;3;96;-1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (51).jpg;73;4;0;90;3;3;96;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (52).jpg;71;3;1;91;2;5;96;1;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (53).jpg;72;3;1;92;2;4;99;-2;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (54).jpg;72;4;4;85;4;7;91;3;9 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (55).jpg;68;4;3;84;4;6;93;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (56).jpg;58;5;3;75;5;5;89;5;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (57).jpg;61;5;3;81;5;6;89;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (58).jpg;53;7;2;54;6;3;90;4;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (59).jpg;60;6;2;73;6;5;88;6;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (6).jpg;45;9;11;43;9;10;82;10;1 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (60).jpg;51;7;1;54;7;2;65;8;2 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (61).jpg;62;4;2;74;4;4;96;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (62).jpg;76;5;3;88;4;6;95;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (63).jpg;78;5;4;90;4;6;95;3;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (64).jpg;61;4;4;71;5;6;87;5;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (65).jpg;66;5;4;77;5;6;87;5;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (66).jpg;59;6;3;68;6;5;86;5;7 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (67).jpg;48;3;4;53;4;6;4;3;9 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (68).jpg;52;3;4;64;4;6;4;4;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (69).jpg;54;4;5;70;5;7;4;6;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (7).jpg;62;5;5;75;6;7;99;8;9 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (70).jpg;51;3;4;62;4;6;4;4;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (71).jpg;52;4;4;64;4;6;81;6;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (72).jpg;56;7;4;62;7;5;88;8;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (73).jpg;55;7;4;61;7;5;88;8;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (74).jpg;50;7;3;54;7;4;6;8;6 
