 GROUP;NAME;L(AVARAGE);A(AVARAGE);B(AVARAGE);L(MEDIAN);A(MEDIAN);B(MEDIAN);L(MODE);A(MODE);B(MODE) 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (75).jpg;49;6;3;54;7;4;4;8;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (76).jpg;67;8;7;72;8;9;81;8;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (77).jpg;70;8;8;78;7;10;83;7;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (78).jpg;58;4;5;76;4;8;88;4;11 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (79).jpg;65;7;5;71;7;7;89;8;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (8).jpg;59;2;-6;69;1;-3;100;0;0 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (80).jpg;49;6;2;52;6;3;6;4;-4 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (81).jpg;64;6;6;78;7;9;83;7;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (82).jpg;67;6;4;81;5;7;95;4;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (83).jpg;59;6;3;69;6;6;92;4;9 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (84).jpg;54;5;6;67;6;9;83;6;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (85).jpg;56;6;5;69;6;8;83;6;10 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (86).jpg;51;4;6;62;5;8;4;6;9 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (87).jpg;57;5;5;62;6;6;91;7;14 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (88).jpg;67;6;7;81;6;10;88;7;14 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (89).jpg;64;6;7;75;6;10;86;6;14 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (9).jpg;55;5;1;59;5;2;87;5;6 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (90).jpg;52;5;4;60;5;6;86;6;12 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (91).jpg;32;3;3;19;3;0;3;1;-2 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (92).jpg;35;3;3;29;3;2;3;0;-1 
   PAMS;PAMS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (93).jpg;72;4;8;88;4;12;92;3;14 
   PAMS;PAMS-MEMBRANOUS    (1).jpg;57;1;-2;64;0;0;71;-1;1 
   PAMS;PAMS-MEMBRANOUS    (2).jpg;70;0;3;75;-1;5;82;-3;6 
   PAMS;PAMS-MEMBRANOUS    (23).jpg;59;-2;-4;68;-1;-2;98;-10;4 
   PAMS;PAMS-MEMBRANOUS    (24).jpg;56;-2;-4;59;-2;-3;96;-10;4 
   PAMS;PAMS-MEMBRANOUS    (25).jpg;59;0;-3;72;-2;0;81;-5;3 
   PAMS;PAMS-MEMBRANOUS    (26).jpg;61;-1;-3;75;-2;0;83;-5;3 
   PAMS;PAMS-MEMBRANOUS    (27).jpg;65;-1;-3;78;-2;0;82;-4;3 
   PAMS;PAMS-MEMBRANOUS    (28).jpg;50;1;-4;66;-1;-1;74;-1;0 
   PAMS;PAMS-MEMBRANOUS    (29).jpg;54;1;-3;68;-1;-1;75;-1;0 
   PAMS;PAMS-MEMBRANOUS    (3).jpg;62;0;-1;67;-1;0;71;-1;1 
   PAMS;PAMS-MEMBRANOUS    (30).jpg;53;0;-3;68;-1;-1;73;-1;0 
   PAMS;PAMS-MEMBRANOUS    (31).jpg;69;-2;3;84;-4;7;91;-8;9 
   PAMS;PAMS-MEMBRANOUS    (32).jpg;62;1;3;77;0;6;83;1;6 
   PAMS;PAMS-MEMBRANOUS    (33).jpg;57;-1;0;71;-3;3;89;-5;7 
   PAMS;PAMS-MEMBRANOUS    (34).jpg;55;-1;0;70;-2;3;86;-3;7 
   PAMS;PAMS-MEMBRANOUS    (35).jpg;61;0;2;75;-1;4;86;-3;7 
   PAMS;PAMS-MEMBRANOUS    (36).jpg;58;0;1;74;-2;4;84;-3;6 
   PAMS;PAMS-MEMBRANOUS    (4).jpg;62;-1;-2;73;-3;1;87;-7;3 
   PAMS;PAMS-MEMBRANOUS    (5).jpg;74;-3;4;82;-4;6;95;-8;11 
   PAMS;PAMS-MEMBRANOUS    (6).jpg;60;-1;-2;73;-2;0;81;-5;3 
   PAMS;PAMS-MEMBRANOUS    (7).jpg;61;0;1;73;-2;5;85;-3;7 
   PAMS;PAMS-NORMAL    GLOMERULUS    (1).jpg;68;4;0;84;5;2;94;5;2 
   PAMS;PAMS-NORMAL    GLOMERULUS    (1).TIF;70;5;0;76;6;1;79;5;1 
   PAMS;PAMS-NORMAL    GLOMERULUS    (10).jpg;68;4;4;76;4;5;78;4;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (11).jpg;73;0;4;81;-1;6;82;-2;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (12).jpg;72;0;4;81;-1;6;84;-2;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (13).jpg;72;0;4;81;-1;6;83;-2;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (14).jpg;71;6;8;84;6;11;92;6;14 
   PAMS;PAMS-NORMAL    GLOMERULUS    (15).jpg;57;5;6;73;5;10;89;5;14 
   PAMS;PAMS-NORMAL    GLOMERULUS    (16).jpg;71;6;9;80;6;12;84;6;12 
   PAMS;PAMS-NORMAL    GLOMERULUS    (17).jpg;66;6;8;78;6;11;83;6;12 
   PAMS;PAMS-NORMAL    GLOMERULUS    (18).jpg;59;4;7;74;4;11;79;4;11 
   PAMS;PAMS-NORMAL    GLOMERULUS    (19).jpg;71;5;7;84;5;10;85;5;10 
   PAMS;PAMS-NORMAL    GLOMERULUS    (2).jpg;63;5;3;72;5;4;77;4;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (20).jpg;57;3;2;75;3;7;81;4;10 
   PAMS;PAMS-NORMAL    GLOMERULUS    (21).jpg;73;5;7;85;5;9;86;5;10 
   PAMS;PAMS-NORMAL    GLOMERULUS    (22).jpg;67;6;4;79;6;6;92;4;9 
   PAMS;PAMS-NORMAL    GLOMERULUS    (23).jpg;76;7;7;84;7;9;90;8;10 
   PAMS;PAMS-NORMAL    GLOMERULUS    (24).jpg;61;4;6;80;4;9;94;4;9 
   PAMS;PAMS-NORMAL    GLOMERULUS    (25).jpg;67;6;3;75;6;6;86;6;8 
   PAMS;PAMS-NORMAL    GLOMERULUS    (26).jpg;58;5;4;72;5;7;83;4;9 
   PAMS;PAMS-NORMAL    GLOMERULUS    (27).jpg;49;6;1;47;7;2;90;7;2 
   PAMS;PAMS-NORMAL    GLOMERULUS    (28).jpg;51;5;1;55;6;2;91;6;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (29).jpg;71;5;0;86;4;1;100;0;0 
   PAMS;PAMS-NORMAL    GLOMERULUS    (3).jpg;64;5;4;72;4;4;78;3;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (30).jpg;70;6;4;83;6;7;88;5;8 
   PAMS;PAMS-NORMAL    GLOMERULUS    (31).jpg;70;4;3;84;3;5;99;3;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (32).jpg;72;5;4;88;4;7;92;3;9 
   PAMS;PAMS-NORMAL    GLOMERULUS    (33).jpg;59;4;2;77;3;5;81;3;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (34).jpg;68;-3;0;85;-4;3;98;-7;7 
   PAMS;PAMS-NORMAL    GLOMERULUS    (35).jpg;67;0;-5;83;0;-3;100;0;0 
   PAMS;PAMS-NORMAL    GLOMERULUS    (4).jpg;63;5;4;71;5;4;77;4;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (5).jpg;63;5;3;71;4;4;78;3;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (6).jpg;62;5;3;71;5;4;77;4;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (7).jpg;63;6;5;69;6;6;75;6;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (8).jpg;70;4;4;77;4;5;78;4;6 
   PAMS;PAMS-NORMAL    GLOMERULUS    (9).jpg;69;4;4;77;4;5;80;3;6 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (1).jpg;63;24;8;65;24;8;81;11;23 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (10).jpg;45;17;-9;46;17;-8;44;12;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (11).jpg;46;16;-9;47;16;-8;53;18;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (12).jpg;46;17;-9;46;17;-8;42;15;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (13).jpg;47;15;-8;47;15;-8;53;10;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (14).jpg;49;15;-8;50;15;-7;55;8;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (141).jpg;50;17;-5;49;17;-4;52;16;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (142).jpg;57;18;-8;56;18;-9;60;16;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (143).jpg;55;14;-4;56;14;-4;56;13;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (144).jpg;61;18;-8;60;19;-8;60;21;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (145).jpg;60;17;-9;60;17;-8;63;16;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (146).jpg;67;12;-9;67;12;-8;67;13;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (147).jpg;65;12;-6;65;12;-6;66;13;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (148).jpg;62;18;2;61;18;2;54;8;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (149).jpg;65;17;3;65;16;3;59;11;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (15).jpg;48;15;-6;49;14;-6;68;2;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (150).jpg;63;18;2;62;19;2;54;12;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (151).jpg;64;17;3;65;17;3;66;8;5 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (152).jpg;63;19;3;64;18;3;63;7;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (153).jpg;63;19;3;63;19;4;66;8;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (154).jpg;71;18;3;72;18;4;74;12;5 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (155).jpg;68;19;-1;69;18;-1;70;14;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (156).jpg;50;23;-4;49;25;-4;47;28;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (157).jpg;52;21;-2;49;22;-4;82;8;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (158).jpg;68;18;3;67;18;3;65;19;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (159).jpg;69;17;4;69;16;4;69;12;5 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (16).jpg;65;16;-6;67;15;-4;78;7;2 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (160).jpg;69;18;3;69;18;3;66;12;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (161).jpg;66;19;0;66;19;1;65;19;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (162).jpg;66;19;0;66;19;1;65;19;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (163).jpg;66;14;-2;68;15;0;68;16;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (164).jpg;77;14;3;76;14;3;92;7;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (165).jpg;69;16;3;70;16;4;70;16;5 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (166).jpg;70;14;4;70;14;5;85;8;5 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (167).jpg;72;15;3;72;15;4;89;8;1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (168).jpg;57;16;-5;57;16;-5;54;13;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (169).jpg;54;18;-6;54;18;-7;57;20;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (17).jpg;57;22;-11;57;21;-11;56;16;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (170).jpg;55;18;-6;54;19;-6;46;21;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (171).jpg;58;16;-5;59;16;-5;59;13;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (172).jpg;54;18;-6;54;19;-7;57;20;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (173).jpg;59;15;-4;59;16;-4;81;1;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (174).jpg;51;17;-6;51;17;-6;55;16;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (175).jpg;52;17;-6;52;17;-6;54;16;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (176).jpg;50;20;-6;50;21;-6;50;23;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (177).jpg;52;19;-6;52;20;-5;52;13;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (178).jpg;65;15;-8;66;15;-7;67;14;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (179).jpg;64;16;-8;64;17;-8;65;17;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (18).jpg;51;18;-3;49;19;-4;70;5;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (19).jpg;66;17;-7;67;16;-6;87;6;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (2).jpg;61;9;-7;62;8;-7;63;8;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (20).jpg;59;17;-7;59;17;-6;60;18;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (21).jpg;49;15;-3;48;16;-3;47;19;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (22).jpg;63;23;-12;60;24;-13;48;-2;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (23).jpg;68;21;-14;66;22;-15;100;0;-17 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (24).jpg;60;18;-12;61;16;-12;64;13;-18 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (25).jpg;74;13;-9;73;14;-10;97;-4;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (26).jpg;61;12;-11;59;12;-11;59;-1;0 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (27).jpg;67;15;-13;67;14;-12;71;11;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (28).jpg;69;14;-12;69;13;-12;71;11;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (29).jpg;69;14;-12;70;14;-12;70;13;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (3).jpg;62;30;4;62;29;4;67;24;2 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (30).jpg;66;16;-14;66;15;-14;70;11;-18 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (31).jpg;70;14;-12;71;12;-12;74;9;-11 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (32).jpg;64;17;-13;64;17;-14;59;-2;-18 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (33).jpg;66;12;-13;66;12;-13;69;-1;-1 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (34).jpg;60;12;-11;60;12;-11;61;8;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (35).jpg;52;17;-13;51;17;-14;44;15;-18 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (36).jpg;52;17;-14;51;17;-14;42;11;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (37).jpg;65;16;-17;65;16;-17;68;15;-17 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (38).jpg;66;18;-19;66;18;-20;100;15;-22 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (39).jpg;56;15;-11;56;17;-11;57;18;-10 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (4).jpg;64;13;-8;65;13;-7;66;13;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (40).jpg;55;15;-11;55;15;-11;56;11;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (41).jpg;73;7;-5;74;7;-4;76;5;-3 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (42).jpg;76;14;-11;78;14;-11;100;0;-12 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (43).jpg;64;14;-9;63;15;-9;66;13;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (44).jpg;61;15;-10;61;14;-11;61;9;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (45).jpg;72;14;-7;73;14;-7;79;11;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (46).jpg;74;12;-7;76;12;-6;79;11;-3 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (47).jpg;77;12;-5;78;12;-5;79;11;-3 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (48).jpg;84;13;-10;85;14;-10;100;0;0 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (49).jpg;73;13;-7;74;14;-6;73;11;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (5).jpg;49;12;-10;47;13;-11;42;10;-13 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (50).jpg;73;14;-7;73;14;-6;76;11;-8 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (6).jpg;80;17;-15;82;17;-16;100;0;-17 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (7).jpg;62;19;-20;60;20;-20;54;19;-21 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (8).jpg;38;16;-5;38;17;-4;34;17;-4 
   PAS;PAS-GLOMERULAR    SCLEROSIS    GLOMERULUS    (9).jpg;43;12;-3;43;13;-2;57;-1;7 
   PAS;PAS-NORMAL    GLOMERULUS    (1).jpg;44;14;2;46;14;2;48;12;2 
   PAS;PAS-NORMAL    GLOMERULUS    (1).TIF;63;16;-8;64;16;-8;78;6;1 
   PAS;PAS-NORMAL    GLOMERULUS    (100).jpg;68;10;-6;69;10;-6;70;9;-3 
   PAS;PAS-NORMAL    GLOMERULUS    (101).jpg;74;7;-10;75;7;-9;93;-6;-7 
   PAS;PAS-NORMAL    GLOMERULUS    (102).jpg;76;7;-8;78;7;-7;80;5;-7 
   PAS;PAS-NORMAL    GLOMERULUS    (103).jpg;59;8;-6;60;8;-4;61;8;-3 
   PAS;PAS-NORMAL    GLOMERULUS    (104).jpg;63;9;-6;64;8;-5;66;5;-3 
   PAS;PAS-NORMAL    GLOMERULUS    (105).jpg;67;21;-13;67;21;-12;70;17;-12 
   PAS;PAS-NORMAL    GLOMERULUS    (106).jpg;63;19;-10;64;18;-8;67;14;-8 
   PAS;PAS-NORMAL    GLOMERULUS    (107).jpg;54;16;-5;55;16;-4;57;13;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (108).jpg;53;17;-6;54;16;-4;55;13;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (109).jpg;78;15;-15;82;16;-16;100;0;0 
   PAS;PAS-NORMAL    GLOMERULUS    (110).jpg;64;26;5;66;25;6;68;21;5 
   PAS;PAS-NORMAL    GLOMERULUS    (111).jpg;66;8;6;67;8;6;72;3;6 
   PAS;PAS-NORMAL    GLOMERULUS    (2).jpg;65;13;-3;64;14;-4;64;14;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (2).TIF;69;16;-8;69;16;-8;68;17;-10 
   PAS;PAS-NORMAL    GLOMERULUS    (3).jpg;63;14;-4;63;15;-4;65;14;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (3).TIF;67;17;-9;67;17;-9;66;17;-10 
   PAS;PAS-NORMAL    GLOMERULUS    (4).jpg;68;11;-2;68;12;-2;68;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (4).TIF;72;14;-7;72;15;-6;86;4;1 
   PAS;PAS-NORMAL    GLOMERULUS    (5).jpg;69;11;-2;69;12;-2;68;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (5).TIF;66;17;-8;66;18;-9;85;5;-11 
   PAS;PAS-NORMAL    GLOMERULUS    (6).jpg;64;14;-4;64;14;-4;66;14;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (62).jpg;70;14;-1;71;14;-1;72;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (63).jpg;66;16;-6;67;14;-5;70;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (64).jpg;68;15;-4;70;13;-4;74;7;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (65).jpg;71;16;-2;72;15;-1;90;12;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (66).jpg;62;20;-3;64;19;-2;68;16;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (67).jpg;62;20;-3;64;20;-2;65;16;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (68).jpg;65;20;-2;66;19;-1;70;16;1 
   PAS;PAS-NORMAL    GLOMERULUS    (69).jpg;64;22;-3;65;21;-2;69;16;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (70).jpg;76;14;1;78;13;2;80;12;1 
   PAS;PAS-NORMAL    GLOMERULUS    (71).jpg;67;20;-2;69;20;-1;73;20;1 
   PAS;PAS-NORMAL    GLOMERULUS    (72).jpg;63;19;-7;65;17;-6;69;14;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (73).jpg;66;18;-5;67;17;-5;70;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (74).jpg;68;18;-4;70;16;-4;80;12;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (75).jpg;68;17;-4;71;15;-3;82;12;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (76).jpg;62;20;-2;63;20;-2;66;19;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (77).jpg;72;20;-3;75;19;-2;77;17;1 
   PAS;PAS-NORMAL    GLOMERULUS    (78).jpg;67;15;-4;67;15;-4;72;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (79).jpg;70;16;-2;71;16;-1;72;15;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (80).jpg;74;18;-4;75;18;-4;79;17;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (81).jpg;69;16;-4;70;16;-3;72;15;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (82).jpg;70;16;-3;71;15;-3;72;15;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (83).jpg;75;17;-5;76;16;-4;79;14;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (84).jpg;70;17;-3;73;15;-2;77;12;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (85).jpg;72;15;-3;75;13;-2;78;11;1 
   PAS;PAS-NORMAL    GLOMERULUS    (86).jpg;72;17;-3;75;16;-2;80;12;1 
   PAS;PAS-NORMAL    GLOMERULUS    (87).jpg;73;18;-6;72;18;-5;73;15;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (88).jpg;70;18;-6;70;18;-6;71;15;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (89).jpg;72;17;-5;72;17;-4;73;15;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (90).jpg;73;16;-4;75;15;-3;77;12;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (91).jpg;72;17;-5;74;16;-4;78;12;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (92).jpg;71;15;-5;74;14;-4;75;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (93).jpg;77;14;-3;78;14;-3;80;12;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (94).jpg;67;14;-5;67;14;-4;70;11;-4 
   PAS;PAS-NORMAL    GLOMERULUS    (95).jpg;74;10;-6;75;10;-5;77;6;-3 
   PAS;PAS-NORMAL    GLOMERULUS    (96).jpg;72;10;-10;74;9;-9;88;0;-1 
   PAS;PAS-NORMAL    GLOMERULUS    (97).jpg;74;15;-8;76;14;-8;80;11;-8 
   PAS;PAS-NORMAL    GLOMERULUS    (98).jpg;63;13;-10;63;13;-10;83;1;2 
   PAS;PAS-NORMAL    GLOMERULUS    (99).jpg;80;13;-8;81;13;-8;100;-1;-12 
